Name,Total Return %,Total Return $,Created At,Expiration,Net Debit/Credit,Chance,Max Loss,Max Profit,High,Low,Delta,Theta,Gamma,Vega,Rho,IV,Link,Group
Symbol,Quantity,Entry Price,Current Price,Close Price,,,,,,,,,,,,,,
AAPL Apr 17th 235/240 Bull Put Spread,-26.23%, $(16.00),3/4/26 19:06,4/17/26 20:00, $61.00 ,75.64%, $439.00 , $61.00 ,240.98%,-162.30%,5.987287521,1.272583008,-0.238418579,-3.281742096,0.943481684,31.49%,Open,Live
.AAPL260417P235,1, $2.32 , $2.00 ,,,,,,,,,,,,,,,
.AAPL260417P240,-1, $2.93 , $2.77 ,,,,,,,,,,,,,,,
AMD Apr 24th 230/235 Bear Call Spread,-24.81%, $(16.00),3/13/26 16:39,4/24/26 20:00, $64.50 ,82.77%, $435.50 , $64.50 ,109.30%,-165.89%,-4.304647446,1.915168762,-0.238418579,-2.275587082,-0.677585363,47.81%,Open,Live
.AMD260424C230,-1, $3.17 , $3.13 ,,,,,,,,,,,,,,,
.AMD260424C235,1, $2.53 , $2.32 ,,,,,,,,,,,,,,,
AMZN May 1st 185/190 Bull Put Spread,-39.75%, $(32.00),3/17/26 16:43,5/1/26 20:00, $80.50 ,73.76%, $419.50 , $80.50 ,165.22%,-123.60%,4.870891571,1.195907593,-0.476837158,-2.561843872,1.030445099,46.11%,Open,Live
.AMZN260501P185,1, $2.80 , $3.58 ,,,,,,,,,,,,,,,
.AMZN260501P190,-1, $3.60 , $4.70 ,,,,,,,,,,,,,,,
AMZN Apr 24th 230/235 Bear Call Spread,41.67%, $30.00 ,3/13/26 16:43,4/24/26 20:00, $72.00 ,89.06%, $428.00 , $72.00 ,54.17%,-504.17%,-4.568993568,1.719045639,-0.298023224,-3.621768951,-0.776678205,27.63%,Open,Live
.AMZN260424C230,-1, $2.10 , $0.96 ,,,,,,,,,,,,,,,
.AMZN260424C235,1, $1.38 , $0.53 ,,,,,,,,,,,,,,,
AVGO May 1st 365/370 Bear Call Spread,13.33%, $10.00 ,3/19/26 15:26,5/1/26 20:00, $75.00 ,85.77%, $425.00 , $75.00 ,297.33%,-4566.00%,-2.490282059,1.50604248,-0.238418579,-2.569257736,-0.756621361,41.54%,Open,Live
.AVGO260501C365,-1, $4.57 , $3.63 ,,,,,,,,,,,,,,,
.AVGO260501C370,1, $3.82 , $2.97 ,,,,,,,,,,,,,,,
